0,1,2,3,4,5,6,7
204.0,183.0,168.0,153.0,139.0,127.0,118.0,110.0
183.0,168.0,153.0,139.0,127.0,118.0,110.0,101.0
168.0,153.0,139.0,127.0,118.0,110.0,101.0,94.0
153.0,139.0,127.0,118.0,110.0,101.0,94.0,94.0
139.0,127.0,118.0,110.0,101.0,94.0,94.0,103.0
127.0,118.0,110.0,101.0,94.0,94.0,103.0,126.0
118.0,110.0,101.0,94.0,94.0,103.0,126.0,141.0
110.0,101.0,94.0,94.0,103.0,126.0,141.0,138.0
101.0,94.0,94.0,103.0,126.0,141.0,138.0,129.0
94.0,94.0,103.0,126.0,141.0,138.0,129.0,120.0
94.0,103.0,126.0,141.0,138.0,129.0,120.0,128.0
103.0,126.0,141.0,138.0,129.0,120.0,128.0,126.0
126.0,141.0,138.0,129.0,120.0,128.0,126.0,123.0
141.0,138.0,129.0,120.0,128.0,126.0,123.0,124.0
138.0,129.0,120.0,128.0,126.0,123.0,124.0,137.0
129.0,120.0,128.0,126.0,123.0,124.0,137.0,147.0
120.0,128.0,126.0,123.0,124.0,137.0,147.0,152.0
128.0,126.0,123.0,124.0,137.0,147.0,152.0,155.0
126.0,123.0,124.0,137.0,147.0,152.0,155.0,159.0
123.0,124.0,137.0,147.0,152.0,155.0,159.0,173.0
124.0,137.0,147.0,152.0,155.0,159.0,173.0,188.0
137.0,147.0,152.0,155.0,159.0,173.0,188.0,192.0
147.0,152.0,155.0,159.0,173.0,188.0,192.0,190.0
152.0,155.0,159.0,173.0,188.0,192.0,190.0,191.0
155.0,159.0,173.0,188.0,192.0,190.0,191.0,194.0
159.0,173.0,188.0,192.0,190.0,191.0,194.0,192.0
173.0,188.0,192.0,190.0,191.0,194.0,192.0,194.0
188.0,192.0,190.0,191.0,194.0,192.0,194.0,184.0
192.0,190.0,191.0,194.0,192.0,194.0,184.0,168.0
190.0,191.0,194.0,192.0,194.0,184.0,168.0,165.0
191.0,194.0,192.0,194.0,184.0,168.0,165.0,167.0
194.0,192.0,194.0,184.0,168.0,165.0,167.0,170.0
192.0,194.0,184.0,168.0,165.0,167.0,170.0,168.0
194.0,184.0,168.0,165.0,167.0,170.0,168.0,163.0
184.0,168.0,165.0,167.0,170.0,168.0,163.0,157.0
168.0,165.0,167.0,170.0,168.0,163.0,157.0,148.0
165.0,167.0,170.0,168.0,163.0,157.0,148.0,143.0
167.0,170.0,168.0,163.0,157.0,148.0,143.0,140.0
170.0,168.0,163.0,157.0,148.0,143.0,140.0,132.0
168.0,163.0,157.0,148.0,143.0,140.0,132.0,124.0
163.0,157.0,148.0,143.0,140.0,132.0,124.0,118.0
157.0,148.0,143.0,140.0,132.0,124.0,118.0,255.0
148.0,143.0,140.0,132.0,124.0,118.0,255.0,255.0
143.0,140.0,132.0,124.0,118.0,255.0,255.0,260.0
140.0,132.0,124.0,118.0,255.0,255.0,260.0,255.0
132.0,124.0,118.0,255.0,255.0,260.0,255.0,251.0
124.0,118.0,255.0,255.0,260.0,255.0,251.0,258.0
118.0,255.0,255.0,260.0,255.0,251.0,258.0,259.0
255.0,255.0,260.0,255.0,251.0,258.0,259.0,245.0
255.0,260.0,255.0,251.0,258.0,259.0,245.0,245.0
260.0,255.0,251.0,258.0,259.0,245.0,245.0,259.0
255.0,251.0,258.0,259.0,245.0,245.0,259.0,262.0
251.0,258.0,259.0,245.0,245.0,259.0,262.0,255.0
258.0,259.0,245.0,245.0,259.0,262.0,255.0,240.0
259.0,245.0,245.0,259.0,262.0,255.0,240.0,220.0
245.0,245.0,259.0,262.0,255.0,240.0,220.0,203.0
245.0,259.0,262.0,255.0,240.0,220.0,203.0,187.0
259.0,262.0,255.0,240.0,220.0,203.0,187.0,163.0
262.0,255.0,240.0,220.0,203.0,187.0,163.0,133.0
255.0,240.0,220.0,203.0,187.0,163.0,133.0,114.0
240.0,220.0,203.0,187.0,163.0,133.0,114.0,106.0
220.0,203.0,187.0,163.0,133.0,114.0,106.0,100.0
203.0,187.0,163.0,133.0,114.0,106.0,100.0,98.0
187.0,163.0,133.0,114.0,106.0,100.0,98.0,111.0
163.0,133.0,114.0,106.0,100.0,98.0,111.0,137.0
133.0,114.0,106.0,100.0,98.0,111.0,137.0,145.0
114.0,106.0,100.0,98.0,111.0,137.0,145.0,125.0
106.0,100.0,98.0,111.0,137.0,145.0,125.0,112.0
100.0,98.0,111.0,137.0,145.0,125.0,112.0,113.0
98.0,111.0,137.0,145.0,125.0,112.0,113.0,95.0
111.0,137.0,145.0,125.0,112.0,113.0,95.0,73.0
137.0,145.0,125.0,112.0,113.0,95.0,73.0,64.0
145.0,125.0,112.0,113.0,95.0,73.0,64.0,59.0
125.0,112.0,113.0,95.0,73.0,64.0,59.0,56.0
112.0,113.0,95.0,73.0,64.0,59.0,56.0,94.0
113.0,95.0,73.0,64.0,59.0,56.0,94.0,159.0
95.0,73.0,64.0,59.0,56.0,94.0,159.0,198.0
73.0,64.0,59.0,56.0,94.0,159.0,198.0,204.0
64.0,59.0,56.0,94.0,159.0,198.0,204.0,190.0
59.0,56.0,94.0,159.0,198.0,204.0,190.0,170.0
